,0,1
0,9 may 1998,1998-05-09
1,10.09.70,1970-09-10
2,4/28/90,1990-04-28
3,thursday january 26 1995,1995-01-26
4,monday march 7 1983,1983-03-07
5,sunday may 22 1988,1988-05-22
6,tuesday july 8 2008,2008-07-08
7,08 sep 1999,1999-09-08
8,1 jan 1981,1981-01-01
9,monday may 22 1995,1995-05-22
10,friday june 16 1978,1978-06-16
11,friday june 18 1999,1999-06-18
12,8 oct 1987,1987-10-08
13,tuesday april 1 2008,2008-04-01
14,6 september 2012,2012-09-06
15,12 november 1981,1981-11-12
16,friday august 19 2011,2011-08-19
17,25 08 07,2007-08-25
18,18 september 1982,1982-09-18
19,friday february 25 1994,1994-02-25
20,friday march 19 1976,1976-03-19
21,20.02.06,2006-02-20
22,17.01.98,1998-01-17
23,october 24 2009,2009-10-24
24,17 apr 2004,2004-04-17
25,03.05.81,1981-05-03
26,31 jan 1980,1980-01-31
27,01 jan 1984,1984-01-01
28,19 apr 1975,1975-04-19
29,sunday december 5 1982,1982-12-05
30,tuesday march 30 1993,1993-03-30
31,sunday december 1 1991,1991-12-01
32,08.08.71,1971-08-08
33,march 23 2001,2001-03-23
34,sunday february 7 1993,1993-02-07
35,saturday october 30 1971,1971-10-30
36,saturday october 2 2004,2004-10-02
37,1/1/17,2017-01-01
38,10 april 1998,1998-04-10
39,friday march 27 1970,1970-03-27
40,6/15/70,1970-06-15
41,7 mar 2015,2015-03-07
42,february 23 1981,1981-02-23
43,23.06.09,2009-06-23
44,4 mar 1982,1982-03-04
45,7/2/89,1989-07-02
46,10/9/76,1976-10-09
47,may 28 2014,2014-05-28
48,wednesday march 18 1998,1998-03-18
49,16 mar 1977,1977-03-16
50,sunday may 15 2016,2016-05-15
51,monday may 4 2009,2009-05-04
52,thursday may 13 1982,1982-05-13
53,9 july 1995,1995-07-09
54,30 oct 1985,1985-10-30
55,friday august 19 2005,2005-08-19
56,july 23 2010,2010-07-23
57,10 apr 2018,2018-04-10
58,saturday june 13 1992,1992-06-13
59,27.09.72,1972-09-27
60,wednesday october 23 1985,1985-10-23
61,saturday february 25 1978,1978-02-25
62,22 dec 2003,2003-12-22
63,22 09 84,1984-09-22
64,october 10 2007,2007-10-10
65,wednesday july 29 2015,2015-07-29
66,aug 24 1982,1982-08-24
